Year,Quarter,Month,Month Name,Day,Date,Day_of_Week,Country,Region,City,Aircraft Manufacturer,Aircraft,Operator,Operator Category,Aboard,Fatalities (Air),Ground
1989,Qtr 2,4,April,10,1989-04-10,Monday,France,France,Col De Tourniol,Fairchild,Fairchild Fh,Eas Service Aero Europe,Commercial,22,22.0,0
1935,Qtr 2,4,April,1,1935-04-01,Monday,France,France,Beauvais,Farman,Farman F,France Air,Commercial,3,1.0,0
1936,Qtr 2,4,April,21,1936-04-21,Tuesday,France,France,Senlis,Fokker,Fokker F,Sabena,Commercial,2,2.0,0
1991,Qtr 2,4,April,19,1991-04-19,Friday,France,French,Nuka Hiva,Dornier,Dornier Do 228,Tahiti Polynesiaair,Commercial,22,11.0,0
1993,Qtr 2,4,April,27,1993-04-27,Tuesday,Gambia,Gambia,Libreville,De Havilland Canada,De Havilland Canada Dhc 5D,Force Air Zambian,Military,30,30.0,0
1997,Qtr 2,4,April,4,1997-04-04,Friday,Georgia,Georgia,Griffin,Aviation Traders,Aviation Traders Atl 98,Service Air Custom,Commercial,2,2.0,0
1947,Qtr 2,4,April,22,1947-04-22,Tuesday,Georgia,Georgia,Columbus,Douglas,Douglas Dc 3 (C,Lines Air Delta,Commercial,10,10.0,0
1991,Qtr 2,4,April,5,1991-04-05,Friday,Georgia,Georgia,Brunswick,Embraer,Embraer 120Rt,Atlantic Southeast Airlines,Commercial,23,23.0,0
1977,Qtr 2,4,April,4,1977-04-04,Monday,Georgia,Georgia,New Hope,Mcdonnell Douglas,Mcdonnell Douglas Dc 9,Airways Southern,Commercial,85,62.0,8
1945,Qtr 2,4,April,21,1945-04-21,Saturday,Germany,Germany,Piesenkofen,Focke,Focke Wulf Fw,Lufthansa Deutsche,Commercial,21,21.0,0
1935,Qtr 2,4,April,6,1935-04-06,Saturday,Germany,Germany,Brilon,Fokker,Fokker F,KLM Royal Dutch Airlines,Commercial,7,7.0,0
1927,Qtr 2,4,April,22,1927-04-22,Friday,Germany,Germany,Floh,Fokker,Fokker Fg Iiid 729,Lufthansa Deutsche,Commercial,2,2.0,0
1933,Qtr 2,4,April,3,1933-04-03,Monday,Germany,Germany,Hemkenrode,Junkers,Junkers F 13D,Lufthansa Deutsche,Commercial,2,1.0,0
1945,Qtr 2,4,April,20,1945-04-20,Friday,Germany,Germany,Steinreich,Junkers,Junkers Ju 53 3Md,Lufthansa,Commercial,20,18.0,0
1933,Qtr 2,4,April,29,1933-04-29,Saturday,Germany,Germany,Traunstein,Junkers,Junkers W 34D,Eurasia,Commercial,4,4.0,0
1931,Qtr 2,4,April,14,1931-04-14,Tuesday,Germany,Germany,Letschen,Messerschmitt,Messerschmitt M 20D,Lufthansa Deutsche,Commercial,10,2.0,0
1948,Qtr 2,4,April,5,1948-04-05,Monday,Germany,Germany,Berlin,Vickers,Vickers Viking 1B & Soviet Yak 3,Force Air Soviet  Airways European British,Military,14,14.0,0
1969,Qtr 2,4,April,24,1969-04-24,Thursday,Ghana,Ghana,Takoradi,Douglas,Douglas Dc 39G,Ghana Airways,Commercial,33,1.0,0
1986,Qtr 2,4,April,2,1986-04-02,Wednesday,Greece,Greece,Athens,Boeing,Boeing B,Airlines World Trans,Commercial,121,4.0,0
1985,Qtr 2,4,April,20,1985-04-20,Saturday,Greenland,Greenland,Kulusuk,Fokker,Fokker F 27 Friendship,Aeronica,Commercial,5,2.0,0
1982,Qtr 2,4,April,26,1982-04-26,Monday,China,Guangxi,Yangshuo,Hawker Siddeley,Hawker Siddeley Trident 2Eb 266,China Caac,Commercial,112,112.0,0
1977,Qtr 2,4,April,27,1977-04-27,Wednesday,Guatemala,Guatemala,Guatemala City,Convair,Convair Cv,Aviateca,Commercial,28,28.0,0
2007,Qtr 2,4,April,25,2007-04-25,Wednesday,Guyana,Guyana,Kopinang,Britten-Norman,Pilatus Britten Norman Bn 2A,Services Air,Commercial,5,3.0,0
1992,Qtr 2,4,April,22,1992-04-22,Wednesday,United States,Hawaii,Mt. Haleakala,Beechcraft,Beechcraft E18,Tours Air Scenic,Commercial,9,9.0,0
1988,Qtr 2,4,April,28,1988-04-28,Thursday,United States,Hawaii,Maui,Boeing,Boeing B 737,Aloha Airlines,Commercial,95,1.0,0
1997,Qtr 2,4,April,1,1997-04-01,Tuesday,Honduras,Honduras,Tegucigalpa,Lockheed,Lockheed C 130H,Force Air U S,Military,10,3.0,0
1961,Qtr 2,4,April,18,1961-04-18,Tuesday,Hong Kong,Hong,Mount Parker,C,C 47(Dc,Force Air Us Kongmilitary,Military,15,14.0,0
1951,Qtr 2,4,April,9,1951-04-09,Monday,Hong Kong,Hong,Cape D'Arguilar,Douglas,Douglas Dc 3Hs,Airways Kongsiamese,Commercial,16,16.0,0
1927,Qtr 2,4,April,15,1927-04-15,Friday,United States,Idaho,King Hill,"Swallow
Swallow",Swallow Swallow,Varney Air Lines,Commercial,1,1.0,0
1993,Qtr 2,4,April,26,1993-04-26,Monday,India,India,Aurangabad,Boeing,Boeing B 737,Indian Airlines,Commercial,118,55.0,0
1954,Qtr 2,4,April,30,1954-04-30,Friday,India,India,Calcutta,Douglas,Douglas C 47A,Aviation Darbhanga,Commercial,11,5.0,0
1952,Qtr 2,4,April,10,1952-04-10,Thursday,India,India,Agartala,Douglas,Douglas C,Airlines Kalinga,Commercial,4,4.0,0
1950,Qtr 2,4,April,5,1950-04-05,Wednesday,India,India,Hatiara,Douglas,Douglas C,Deccan Airways,Commercial,3,3.0,0
1953,Qtr 2,4,April,14,1953-04-14,Tuesday,India,India,Guwahati,Douglas,Douglas C,Airways,Commercial,3,3.0,0
2011,Qtr 2,4,April,19,2011-04-19,Tuesday,India Pawan,India,Tawang,Mil,Mil Mi 172 Vt,Ltd Helicopters Hans,Private,23,18.0,0
1951,Qtr 2,4,April,28,1951-04-28,Saturday,United States,Indiana,Fort Wayne,Douglas,Douglas Dc,Lines Air United,Commercial,11,11.0,0
1927,Qtr 2,4,April,22,1927-04-22,Friday,United States,Indiana,Goshen,Douglas,Douglas M,US Aerial Mail Service,Commercial,1,1.0,0
1932,Qtr 2,4,April,21,1932-04-21,Thursday,United States,Indiana,Fort Wayne,Stearman,Stearman C,Transamerica Airlines,Commercial,1,1.0,0
2013,Qtr 2,4,April,13,2013-04-13,Saturday,Indonesia,Indonesia,Denpasar,Boeing,Boeing B 737,Lion Air,Commercial,108,0.0,0
1997,Qtr 2,4,April,19,1997-04-19,Saturday,Indonesia,Indonesia,Tanjung Pandan,British Aerospace,British Aerospace Atppk Mtx,Merpati Nusantara Airlines,Commercial,53,15.0,0
2009,Qtr 2,4,April,9,2009-04-09,Thursday,Indonesia,Indonesia,Wamena,British Aerospace,British Aerospace Bae 146,Mandiri Aviastar,Commercial,6,6.0,0
1994,Qtr 2,4,April,25,1994-04-25,Monday,Indonesia,Indonesia,Nanga Pinoh,Britten-Norman,Britten Norman Bn 2A,Dirgantara Air Services,Commercial,11,11.0,0
2005,Qtr 2,4,April,12,2005-04-12,Tuesday,Indonesia,Indonesia,Enarotali,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Air Gt,Commercial,18,18.0,0
1981,Qtr 2,4,April,28,1981-04-28,Tuesday,Indonesia,Indonesia,Pekanbaru,Douglas,Douglas C 47A,Indonesia Airfast Private,Private,17,15.0,0
