Year,Quarter,Month,Month Name,Day,Date,Day_of_Week,Country,Region,City,Aircraft Manufacturer,Aircraft,Operator,Operator Category,Aboard,Fatalities (Air),Ground
2009,Qtr 2,4,April,6,2009-04-06,Monday,Indonesia,Indonesia,Bandung,Fokker,Fokker F 27 Friendship,Force Air Indonesian,Military,24,24.0,0
1987,Qtr 2,4,April,4,1987-04-04,Saturday,Indonesia,Indonesia,Medan-Polonia,Mcdonnell Douglas,Mcdonnell Douglas Dc 9,Garuda Indonesia Airlines,Commercial,45,27.0,0
1993,Qtr 2,4,April,19,1993-04-19,Monday,United States,Iowa,Zwingle,Mitsubishi,Mitsubishi Mu 2B,Private Operator,Private,8,8.0,0
2005,Qtr 2,4,April,20,2005-04-20,Wednesday,Iran,Iran,Tehran,Boeing,Boeing B 707,Services Airline Saha,Commercial,169,3.0,0
1992,Qtr 2,4,April,26,1992-04-26,Sunday,Iran,Iran,Saveh,Fokker,Fokker F 27 Friendship,Services Airline Saha,Commercial,39,39.0,0
1967,Qtr 2,4,April,17,1967-04-17,Monday,Iran,Iran,Mamuniyeh,Lockheed,Lockheed C,Force Air Iranian Imperial,Military,23,23.0,0
1980,Qtr 2,4,April,24,1980-04-24,Thursday,Iran,Iran,Posht-I-Badam,Lockheed,Lockheed Ec 130E,Force Air U S,Military,7,5.0,0
2005,Qtr 2,4,April,21,2005-04-21,Thursday,Iraq,Iraq,Baghdad,Mil,Mil Mi 8,Bulgarian,Military,11,11.0,0
1948,Qtr 2,4,April,15,1948-04-15,Thursday,Ireland,Ireland,Shannon,Lockheed,Lockheed L 049,Airways World American Pan,Commercial,31,30.0,0
1945,Qtr 2,4,April,23,1945-04-23,Monday,Isle,Isle,North Barrule,B17G Flying,B17G Flying Fortress43,England Man Of  U S Air Force,Military,31,31.0,0
1954,Qtr 2,4,April,8,1954-04-08,Thursday,Italy,Italy,Stromboli,De Havilland,De Havilland Dh106 Comet 1G,Leased From British Overseas Airways Airways African South,Commercial,21,21.0,0
1970,Qtr 2,4,April,25,1970-04-25,Saturday,Italy,Italy,Rivolto,Fairchild,Fairchild C,Force Air Italian,Military,19,17.0,0
1972,Qtr 2,4,April,16,1972-04-16,Sunday,Italy,Italy,Ardinello Di Amaseno,Fokker,Fokker F 27 Friendship,Italiani Transporti Aero,Commercial,18,18.0,0
1938,Qtr 2,4,April,30,1938-04-30,Saturday,Italy,Italy,Formia,Junkers,Junkers Ju 52I,Littoria Ala,Commercial,19,19.0,0
1936,Qtr 2,4,April,15,1936-04-15,Wednesday,Italy,Italy,Turin,Ofm,Ofm F Viib 3Mi,Italiane Linee Avio,Commercial,7,7.0,0
1953,Qtr 2,4,April,10,1953-04-10,Friday,Jamaica,Jamaica,Kingston,Lockheed,Lockheed 18 56,Airways International Caribbean,Commercial,13,13.0,0
1950,Qtr 2,4,April,21,1950-04-21,Friday,Japan,Japan,Atsugi,Douglas,Douglas C,Force Air U S,Military,35,35.0,0
1983,Qtr 2,4,April,19,1983-04-19,Tuesday,Japan,Japan,Toba,Kawasaki,Kawasaki C 1 Kawasaki C,Force Self Defence Air Japan,Military,14,14.0,0
1952,Qtr 2,4,April,9,1952-04-09,Wednesday,Japan,Japan,Mihara Volcano,Martin,Martin,Lines Air Japan,Commercial,37,37.0,0
1983,Qtr 2,4,April,26,1983-04-26,Tuesday,Japan,Japan,Iwakuni Ab,Shin Meiwa,Shin Meiwa Ps,Force Defense Self Maritime Japan,Military,14,11.0,0
1957,Qtr 2,4,April,17,1957-04-17,Wednesday,Jordan,Jordan,El Quweira,Vickers,Vickers Valetta C Mk.1Vw832,Force Air Royal,Military,24,24.0,0
1987,Qtr 2,4,April,13,1987-04-13,Monday,United States,Kansas,Kansas City,Boeing,Boeing 707,Express Air Burlington,Commercial,4,4.0,0
1992,Qtr 2,4,April,14,1992-04-14,Tuesday,Kenya,Kenya,Nairobi,De Havilland,De Havilland Dhc 5,Force Air Kenyan,Military,46,46.0,6
2006,Qtr 2,4,April,10,2006-04-10,Monday,Kenya,Kenya,Marsabit,Harbin,Harbin Yunshuji Y 12,Force Air Kenya,Military,17,14.0,0
1954,Qtr 2,4,April,13,1954-04-13,Tuesday,Laos,Laos,Xieng Kouang,Lockheed,Lockheed 18 Lodestarf,Raviteillement De Indochinoise Societe,Commercial,23,16.0,0
1972,Qtr 2,4,April,24,1972-04-24,Monday,Laos,Laos,Nyot Mo,Pilatus,Pilatus,Air America,Commercial,10,4.0,0
1992,Qtr 2,4,April,7,1992-04-07,Tuesday,Libya,Libya,Sarra,Antonov,Antonov An,Bissau Air,Commercial,13,3.0,0
1968,Qtr 2,4,April,8,1968-04-08,Monday,United Kingdom,London,Heathrow Airport,Boeing,Boeing B 707,England British Overseas Airways,Commercial,127,5.0,0
1953,Qtr 2,4,April,10,1953-04-10,Friday,Madagascar,Madagascar,Miandivazo,Junkers,Junkers Ju 5,France Air,Commercial,15,4.0,0
1946,Qtr 2,4,April,5,1946-04-05,Friday,Malta,Malta,Rabat,Vickers,Vickers Wellington Bomberhe 274,Navy British Royal,Military,4,4.0,16
2010,Qtr 2,4,April,13,2010-04-13,Tuesday,Mexico,Mexico,Monterey,Airbus,Airbus A300,Union Company Freight Airborne,Commercial,5,5.0,2
2014,Qtr 2,4,April,19,2014-04-19,Saturday,Mexico,Mexico,Ramos Arizpe,British Aerospace,British Aerospace Bae 125 700A,Comerciales Aereas Lineas,Commercial,8,8.0,0
1957,Qtr 2,4,April,15,1957-04-15,Monday,Mexico,Mexico,Merida,Consolidated,Consolidated B,Transportes Aereos Mexicanos,Commercial,3,3.0,1
1959,Qtr 2,4,April,17,1959-04-17,Friday,Mexico,Mexico,Puerto Kino,Curtiss,Curtiss C 46F,Voladores Tigres,Commercial,26,26.0,0
1968,Qtr 2,4,April,10,1968-04-10,Wednesday,Mexico,Mexico,Mexico City,Douglas,Douglas Dc 3Xa,Rojas Aerovias,Commercial,18,18.0,0
1958,Qtr 2,4,April,6,1958-04-06,Sunday,United States,Michigan,Freeland,Vickers,Vickers Viscount,Capital Airlines,Commercial,47,47.0,0
2008,Qtr 2,4,April,11,2008-04-11,Friday,Moldova,Moldova,Chrisinau,Antonov,Antonov An,Transportation Kata,Commercial,8,8.0,0
1993,Qtr 2,4,April,23,1993-04-23,Friday,Mongolia,Mongolia,Zavnah,Antonov,Antonov An,Airlines Mongolian Miat,Commercial,40,32.0,0
1970,Qtr 2,4,April,1,1970-04-01,Wednesday,Morocco,Morocco,Casablanca,Aerospatiale,Aerospatiale Caravelle,Royal Air Maroc,Commercial,82,61.0,0
1939,Qtr 2,4,April,3,1939-04-03,Monday,Morocco,Morocco,Marrakech,Caudron C.635,Caudron C.635 Simounf,France Air,Commercial,9,9.0,0
1976,Qtr 2,4,April,23,1976-04-23,Friday,United States,Helicopter,Gulf Of Mexicopetroleum,Bell,Bell 205,United Airlines,Commercial,12,12.0,0
1962,Qtr 2,4,April,19,1962-04-19,Thursday,Hong Kong,Force,Hong Kongmilitary - U.S. Air,Douglas,Douglas C 47,Military,Commercial,16,15.0,0
1924,Qtr 2,4,April,24,1924-04-24,Thursday,United Kingdom,Netherlands,Over The English Channelklm Royal,Fokker,Fokker F.Iiih,KLM,Commercial,3,3.0,0
1948,Qtr 2,4,April,24,1948-04-24,Saturday,Russia,Russiaaeroflot,Irkutsk,Lisunov,Lisnov Li,Aeroflot,Commercial,29,28.0,0
1943,Qtr 2,4,April,4,1943-04-04,Sunday,United Kingdom,Airways,North Seabritish Overseas,Lockheed,Lockheed C 56B,British Airways,Commercial,7,7.0,0
1945,Qtr 2,4,April,27,1945-04-27,Friday,United States,Airways,Washington D.C.Page,Lockheed,Lockheed 18,United Airlines,Commercial,13,6.0,0
1948,Qtr 2,4,April,18,1948-04-18,Sunday,Papua New Guinea,Traders,Territory Of New Guineanew Guinea Air,Lockheed,Lockheed Hudson Iiiavh Ala,Air Niugini,Commercial,37,37.0,0
1982,Qtr 2,4,April,30,1982-04-30,Friday,Thailand,Helicopters,Gulf Of Thailandokanagan,Sikorsky,Sikorsky S 76C,Thai Airways,Commercial,13,13.0,0
1994,Qtr 2,4,April,14,1994-04-14,Thursday,Iraq,United States,Northern Iraqmilitary - U.S. Army / Military,Sikorsky,Sikorsky Uh 60 Sikorsky Uh,United Airlines,Commercial,26,26.0,0
1918,Qtr 2,4,April,7,1918-04-07,Sunday,Italy,Navy,Over The Mediterraneanmilitary - German,Zeppelin,Zeppelin L 59 (Airship),Military Navy,Commercial,23,23.0,0
1951,Qtr 2,4,April,6,1951-04-06,Friday,Near,Near,Refugio Pass,Douglas,Douglas Dc,California Barbara Santa Southwest Airways,Commercial,22,22.0,0
1994,Qtr 2,4,April,4,1994-04-04,Monday,Netherlands,Netherlands,Amsterdam,Saab,Saab 340Bph Ksh,Cityhopper Klm,Commercial,24,3.0,0
1994,Qtr 2,4,April,3,1994-04-03,Sunday,United States,Nevada,Lamoille,Bell,Bell 206,Inc Services Aero El Taxi Air,Commercial,5,5.0,0
1971,Qtr 2,4,April,22,1971-04-22,Thursday,United States,New,Manchester,Beechcraft,Beechcraft,Aviaiton England Hampshirenew,Commercial,4,4.0,0
1972,Qtr 2,4,April,17,1972-04-17,Monday,United States,United States,,Bell,Bell 47,Helicopter Yorkhelaire,Commercial,3,3.0,0
1985,Qtr 2,4,April,16,1985-04-16,Tuesday,United States,New,Las Cruces,Boeing,Boeing B 727,American Airlines Mexico,Commercial,89,0.0,0
1952,Qtr 2,4,April,5,1952-04-05,Saturday,United States,United States,,Curtiss,Curtiss C 46F,Airlines Yorkus,Commercial,2,2.0,3
1920,Qtr 2,4,April,11,1920-04-11,Sunday,United States,New,Heller Field,Curtiss,Curtiss Jn,Service Mail Aerial Jerseyus,Commercial,2,1.0,0
1920,Qtr 2,4,April,10,1920-04-10,Saturday,United States,New,Newark,Curtiss,Curtiss R,Service Mail Aerial Jerseyus,Commercial,2,1.0,0
1955,Qtr 2,4,April,4,1955-04-04,Monday,United States,New,Islip,Douglas,Douglas Dc,Lines Air Yorkunited,Commercial,3,3.0,0
1930,Qtr 2,4,April,18,1930-04-18,Friday,United States,New,Jersey City,Fairchild,Fairchild,Airways Colonial Jerseycanadian,Commercial,4,4.0,0
1933,Qtr 2,4,April,4,1933-04-04,Tuesday,United States,New,Barnegat,Goodyear,Goodyear Zeppelin U.S.S. Akron (Airship)Zrs,Navy U S Jerseymilitary,Military,76,73.0,0
1986,Qtr 2,4,April,2,1986-04-02,Wednesday,United States,New,Magdalena,Lockheed,Lockheed Hc 130P,Force Air U S Mexicomilitary,Military,11,11.0,0
1943,Qtr 2,4,April,22,1943-04-22,Thursday,United States,New,Port Moresby,Shorts,Short S,Guineaqantas,Commercial,31,13.0,0
1979,Qtr 2,4,April,18,1979-04-18,Wednesday,United States,New,Newark,Sikorsky,Sikorsky S61,Airways York Jerseynew,Commercial,18,3.0,0
1936,Qtr 2,4,April,1,1936-04-01,Wednesday,United States,New,Pavillon,Stinson Model,Stinson Model,Airlines Yorkamerican,Commercial,2,2.0,0
1960,Qtr 2,4,April,18,1960-04-18,Monday,Canada,Newfoundland,Stephenville,Douglas,Douglas C 124C,Force Air U S,Military,9,9.0,0
1960,Qtr 2,4,April,5,1960-04-05,Tuesday,Nicaragua,Nicaragua,Siuna,Curtiss,Curtiss C 46A,Lanica,Commercial,18,2.0,0
1946,Qtr 2,4,April,22,1946-04-22,Monday,Nicaragua,Nicaragua,La Liberiad,Lockheed,Lockheed 14 Super Electraan Acc,TACA,Commercial,21,20.0,0
1997,Qtr 2,4,April,16,1997-04-16,Wednesday,Niger,Niger,Sorei,Lockheed,Lockheed C 130H,Force Air Niger,Military,14,14.0,0
1995,Qtr 2,4,April,23,1995-04-23,Sunday,Nigeria,Nigeria,Lagos,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Helicopters Bristow,Private,9,1.0,0
1948,Qtr 2,4,April,10,1948-04-10,Saturday,Nigeria,Nigeria,Kano,Douglas,Douglas Dc 4F,France Air,Commercial,6,1.0,0
1960,Qtr 2,4,April,20,1960-04-20,Wednesday,North,North,Hickory,Fairchild,Fairchild F 27 Cessna 310N2704R,Private Airlines Carolinapiedmont,Private,44,4.0,0
1969,Qtr 2,4,April,15,1969-04-15,Tuesday,North,North,Chongjin,Lockheed,Lockheed Ec,Navy U S Koreamilitary,Military,31,31.0,0
1987,Qtr 2,4,April,23,1987-04-23,Thursday,North,North,Wilmington,Swearingen,Swearingen Sa 26Tc Metro,Commuter Carolinaair Lift,Commercial,2,2.0,0
1946,Qtr 2,4,April,1,1946-04-01,Monday,Northern,Northern,Craigavad,De Hvilland 89A Dragon,De Hvilland 89A Dragon Rapideg,Ltd Services Air Irelandrailway,Commercial,6,6.0,0
1990,Qtr 2,4,April,12,1990-04-12,Thursday,Norway,Norway,Vaeroy,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Flyveselksap Wideroe S,Commercial,5,5.0,0
1944,Qtr 2,4,April,21,1944-04-21,Friday,Norway,Norway,Frederikstad,Douglas,Douglas Dc 3D,Lufthansa Deutsche,Commercial,20,9.0,0
1963,Qtr 2,4,April,14,1963-04-14,Sunday,Norway,Norway,Oslo,Vickers,Vickers Viscount 759Dtf Isu,Icelandair,Commercial,12,12.0,0
2016,Qtr 2,4,April,29,2016-04-29,Friday,Norway Chc,Norway,Sorta,Eurocopter,Eurocopter Ec225Lp Super Puma M2+ Ln Ojf,Service Helikopter,Commercial,13,13.0,0
1921,Qtr 2,4,April,21,1921-04-21,Thursday,United States,Nyus,Mitchel Field,De Havilland,De Havilland Dh,Service Mail Aerial,Commercial,1,1.0,0
1921,Qtr 2,4,April,29,1921-04-29,Friday,United States,Ohio,Cleveland,De Havilland,De Havilland Dh,US Aerial Mail Service,Commercial,1,1.0,0
1964,Qtr 2,4,April,18,1964-04-18,Saturday,United States,Ohio,Wilmington,Fairchild,Fairchild C 119G Fairchild C,Force Air Us,Military,19,17.0,0
1981,Qtr 2,4,April,7,1981-04-07,Tuesday,United States,Ohio,Cincinnati,Learjet,Learjet,International Freedom,Commercial,2,1.0,0
1966,Qtr 2,4,April,22,1966-04-22,Friday,United States,Oklahoma,Ardmore,Lockheed,Lockheed 188C,Airline Flyers American,Commercial,98,83.0,0
1990,Qtr 2,4,April,30,1990-04-30,Monday,On,On,Ship Sands,Beechcraft,Beechcraft C99C,Canada Frontier Air,Commercial,4,1.0,0
2012,Qtr 2,4,April,20,2012-04-20,Friday,Pakistan,Pakistan,Islamabad,Boeing,Boeing 737,Airlines Bhoja,Commercial,127,127.0,0
1990,Qtr 2,4,April,18,1990-04-18,Wednesday,Panama,Panama,Contadora,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Aeroperlas,Commercial,22,20.0,0
2000,Qtr 2,4,April,29,2000-04-29,Saturday,Papua,Papua,Bapi,Britten-Norman,Britten Norman Bn,Aviation Coast Guineanorth New,Commercial,4,4.0,0
2016,Qtr 2,4,April,13,2016-04-13,Wednesday,Papua,Papua,Kiunga,Britten-Norman,Britten Norman Islander,Aviation Guineasunbird New,Commercial,12,12.0,0
1992,Qtr 2,4,April,16,1992-04-16,Thursday,Papua,Papua,Goroka,Embraer 110P1,Embraer 110P1 Bandeirantep2 Rds,Guineatalair New,Commercial,15,11.0,0
2018,Qtr 2,4,April,17,2018-04-17,Tuesday,United States,Pennsylvania,Nw Of Philadelphia,Boeing,Boeing 737,Southwest Airlines,Commercial,149,1.0,0
1936,Qtr 2,4,April,7,1936-04-07,Tuesday,United States,Pennsylvania,Uniontown,Douglas,Douglas Dc 2,Air Western And Continental Trans,Commercial,14,12.0,0
1956,Qtr 2,4,April,1,1956-04-01,Sunday,United States,Pennsylvania,Pittsburgh,Martin,Martin,Airlines World Trans,Commercial,36,22.0,0
1991,Qtr 2,4,April,4,1991-04-04,Thursday,United States,Pennsylvania,Marion,Piper,Piper Aerostar 601 Bell 412Spn3645D,Private Operator,Private,5,5.0,2
1972,Qtr 2,4,April,20,1972-04-20,Thursday,Peru,Peru,Moyobamba,Douglas,Douglas C,Satco,Commercial,6,6.0,0
2005,Qtr 2,4,April,28,2005-04-28,Thursday,Peru,Peru,Pisco,LET,Let 410Uvpep 830,Peru Del Fuerza,Military,13,13.0,0
1967,Qtr 2,4,April,2,1967-04-02,Sunday,Peru,Peru,Lima,Lockheed,Lockheed 18,Airlines Caribbean,Commercial,5,5.0,0
1966,Qtr 2,4,April,27,1966-04-27,Wednesday,Peru,Peru,Tomas,Lockheed,Lockheed 749A Constellationob R,Lansa,Commercial,49,49.0,0
2010,Qtr 2,4,April,21,2010-04-21,Wednesday,Philippines,Philippines,Pampanga,Antonov,Antonov An,Airlines Interisland,Commercial,6,3.0,0
2000,Qtr 2,4,April,19,2000-04-19,Wednesday,Philippines,Philippines,Samal Island,Boeing,Boeing B 737,Philippines Air,Commercial,131,131.0,0
1971,Qtr 2,4,April,15,1971-04-15,Thursday,Philippines,Philippines,San Jose,Douglas,Douglas C,Force Air Philippine,Military,40,39.0,0
1990,Qtr 2,4,April,26,1990-04-26,Thursday,Philippines,Philippines,Manila,Douglas,Douglas Dc 3 (C,System Transport Aero Manila Mats,Commercial,24,7.0,0
1967,Qtr 2,4,April,27,1967-04-27,Thursday,Philippines,Philippines,Malaybalay,Fokker,Fokker F 27 Friendship,Service Air Pelita,Commercial,21,19.0,0
1970,Qtr 2,4,April,21,1970-04-21,Tuesday,Philippines,Philippines,Manila,Hawker Siddeley,Hawker Siddeley Hs 748,Philippine Air Lines,Commercial,36,36.0,0
1969,Qtr 2,4,April,2,1969-04-02,Wednesday,Poland,Poland,Zawoja,Antonov,Antonov An,LOT Polish Airlines,Commercial,53,53.0,0
1952,Qtr 2,4,April,11,1952-04-11,Friday,Puerto Rico,Puerto,North Of San Juan,Douglas,Douglas Dc,Airways World American Ricopan,Commercial,69,52.0,0
1969,Qtr 2,4,April,7,1969-04-07,Monday,Canada,Quebec,Sept-Îles,Vickers,Vickers 757 Viscountcf Thk,Air Canada,Commercial,21,1.0,0
1980,Qtr 2,4,April,14,1980-04-14,Monday,Russia,Russia,Krasnoyarsk,Antonov,Antonov An,Aeroflot,Commercial,53,2.0,0
1970,Qtr 2,4,April,1,1970-04-01,Wednesday,Russia,Russia,Novosibirsk,Antonov,Antonov An,Aeroflot,Commercial,45,45.0,0
1981,Qtr 2,4,April,28,1981-04-28,Tuesday,Russia,Russia,Batagay,Antonov,Antonov An 2Tp,Aeroflot,Commercial,12,12.0,0
2012,Qtr 2,4,April,2,2012-04-02,Monday,Russia,Russia,Tyumen,Atr,Atr 72,Utair,Commercial,43,33.0,0
1978,Qtr 2,4,April,20,1978-04-20,Thursday,Russia,Russia,Murmansk,Boeing,Boeing B 707,Airlines Korean,Commercial,109,2.0,0
1963,Qtr 2,4,April,4,1963-04-04,Thursday,Russia,Russia,Tatarstan,Ilyushin,Ilyushin Il 18,Aeroflot,Commercial,67,67.0,0
1996,Qtr 2,4,April,5,1996-04-05,Friday,Russia,Russia,Petropavlovsk,Ilyushin,Ilyushin Il,Avialinii Krasnoyarskie,Commercial,20,20.0,0
1992,Qtr 2,4,April,4,1992-04-04,Saturday,Russia,Russia,Baikov,LET,Let 410Uvpcccp,Kamchatavia,Commercial,12,1.0,0
1949,Qtr 2,4,April,29,1949-04-29,Friday,Russia,Russia,Mironovo,Lisunov,Lisunov Li,Aeroflot,Commercial,24,14.0,0
2002,Qtr 2,4,April,28,2002-04-28,Sunday,Russia,Russia,Abakan,Mil,Mi 8 Helicopter,Private Operator,Private,20,8.0,0
2010,Qtr 2,4,April,10,2010-04-10,Saturday,Russia,Russia,Yelizovo,Mil,Mi 8,Airlines Kamchatka,Commercial,18,10.0,0
2010,Qtr 2,4,April,10,2010-04-10,Saturday,Russia,Russia,Smolensk,Tupolev,Tupolev,Force Air Polish,Military,96,96.0,0
1983,Qtr 2,4,April,19,1983-04-19,Tuesday,Russia,Russia,Leninakan,Yakovlev,Yakovlev Yak,Aeroflot,Commercial,21,21.0,0
1994,Qtr 2,4,April,6,1994-04-06,Wednesday,Rwanda,Rwanda,Kigali,Dassault,Dassault Falcon 509Xr Nn,Government Rwanda,Government/Other,12,12.0,0
1955,Qtr 2,4,April,11,1955-04-11,Monday,Sarawak,Sarawak,Great Natuna,Lockheed,Lockheed 749A Constellationvt Dep,India Air,Commercial,19,19.0,0
1964,Qtr 2,4,April,17,1964-04-17,Friday,Saudi,Saudi,Dhahran,Sud Aviation Caravelle,Sud Aviation Caravelle 3Od Aem,Airlines East Arabiamiddle,Commercial,49,49.0,0
2009,Qtr 2,4,April,1,2009-04-01,Wednesday,United Kingdom,Scotland,Crimond,Eurocopter,Eurocopter As 332L2 Super Puma 2G,Helicopters Offshore Bond,Private,16,16.0,0
1940,Qtr 2,4,April,22,1940-04-22,Monday,United Kingdom,Scotland,Loch Lomond,Lockheed,Lockheed 14 Super Electrag,British Overseas Airways,Commercial,5,5.0,0
1947,Qtr 2,4,April,13,1947-04-13,Sunday,Senegal,Senegal,Dakar,Avro,Avro 685 York,Airways American South British,Commercial,15,6.0,0
1954,Qtr 2,4,April,8,1954-04-08,Thursday,Sk,Sk,Moose Jaw,Canadair,Canadair C 4,Canada Trans Canada Air Lines Rcaf,Commercial,36,36.0,1
1964,Qtr 2,4,April,12,1964-04-12,Sunday,Somalia,Somalia,Hargeisa,Douglas,Douglas Dc 3Vr,Aden Airways,Commercial,15,15.0,0
1968,Qtr 2,4,April,19,1968-04-19,Friday,South,South,Cheo Reo,Bell,Bell Uh 1H Bell Uh,Army U S  Army U S Vietnammilitary,Military,26,26.0,0
2002,Qtr 2,4,April,15,2002-04-15,Monday,South,South,Busan,Boeing,Boeing B 767,China Koreaair,Commercial,166,128.0,0
1969,Qtr 2,4,April,2,1969-04-02,Wednesday,South,South,Quang Tri,Boeing Vertol,Boeing Vertol Ch47C (Helicopter)67,Army U S Vietnammilitary,Military,78,24.0,0
1967,Qtr 2,4,April,8,1967-04-08,Saturday,South,South,Seoul,Curtiss,Curtiss C 46 Commando,Force Air Korea Of Republic Koreamilitary,Military,15,15.0,44
1988,Qtr 2,4,April,12,1988-04-12,Tuesday,South,South,Hennenman,Douglas,Douglas Dc,Airways Africaunited,Commercial,24,24.0,0
1975,Qtr 2,4,April,4,1975-04-04,Friday,South,South,Saigon,Lockheed,Lockheed C 5A,Force Air U S Vietnammilitary,Military,330,155.0,0
1968,Qtr 2,4,April,20,1968-04-20,Saturday,South-West,South-West,Windhoek,Boeing,Boeing B 707,Airways African Namibia South Africa,Commercial,128,123.0,0
1925,Qtr 2,4,April,25,1925-04-25,Saturday,Spain,Spain,Alicante,Breguet,Breguet 14,Grands Express Aeriens,Commercial,3,3.0,0
1958,Qtr 2,4,April,14,1958-04-14,Monday,Spain,Spain,Castell De Fels,De Havilland,De Havilland Dh 114 Heron,Aviaco,Commercial,16,16.0,0
1959,Qtr 2,4,April,29,1959-04-29,Wednesday,Spain,Spain,Valdemeca,Douglas,Douglas Dc 3Ec,Iberia Airlines,Commercial,28,28.0,0
1928,Qtr 2,4,April,19,1928-04-19,Thursday,Spain,Spain,Minuesa,Rohrbach,Rohrbach Rolandm,Iberia Airlines,Commercial,9,9.0,0
2002,Qtr 2,4,April,12,2002-04-12,Friday,Spain,Spain,Palma De Mallorca,Swearingen,Swearingen Sa.227Ac Metro Iiiec Gkr,Tadair,Commercial,2,2.0,0
1995,Qtr 2,4,April,29,1995-04-29,Saturday,Sri,Sri,Palaly Afb,Hawker Siddeley,Hawker Siddeley Hs 748,Force Air Lanka Sri Lankamilitary,Military,52,52.0,0
2001,Qtr 2,4,April,4,2001-04-04,Wednesday,Sudan,Sudan,Adar Yeil,Antonov,Antonov An 24,Force Air Sudan,Military,30,14.0,0
1983,Qtr 2,4,April,16,1983-04-16,Saturday,Sudan,Sudan,Khartoum,Hawker Siddeley,Hawker Siddeley Hs 748,Liberia Air,Commercial,9,8.0,9
2008,Qtr 2,4,April,3,2008-04-03,Thursday,Suriname,Suriname,Lawa,Antonov,Antonov An,Airlines Wing Blue,Commercial,19,19.0,0
1936,Qtr 2,4,April,30,1936-04-30,Thursday,Switzerland,Switzerland,Basel,General Aviation,General Aviation Ga,Swissair,Commercial,2,2.0,0
1936,Qtr 2,4,April,17,1936-04-17,Friday,Switzerland,Switzerland,Orvin,Junkers,Junkers Ju 52D,Lufthansa Deutsche,Commercial,5,3.0,0
1965,Qtr 2,4,April,10,1965-04-10,Saturday,Syria,Syria,Damascus,Handley Page,Handley Page Dart Herald 207Jy Acq,Royal Jordanian Airlines,Commercial,54,54.0,0
1992,Qtr 2,4,April,10,1992-04-10,Friday,Taiwan,Taiwan,Orchid,Britten-Norman,Britten Norman Bn 2A,Airlines Taiwan,Commercial,10,7.0,0
1996,Qtr 2,4,April,5,1996-04-05,Friday,Taiwan,Taiwan,Matsu,Dornier,Dornier 228,Airlines Formosa,Commercial,17,6.0,0
1993,Qtr 2,4,April,1,1993-04-01,Thursday,United States,Tennesee,Blountville,Fairchild,Fairchild Sa227,Private Operator,Private,4,4.0,0
2016,Qtr 2,4,April,4,2016-04-04,Monday,United States,Tennessee,Pigeon Forge,Bell,Bell 206,Helicopters Mountain Smoky,Private,5,5.0,0
1974,Qtr 2,4,April,30,1974-04-30,Tuesday,United States,Texas,Galveston,Beechcraft,Beechcraft 99,Airlines Metro Houston,Commercial,12,6.0,0
1978,Qtr 2,4,April,4,1978-04-04,Tuesday,United States,Texas,Galveston,Bell,Bell 212,Logistics Air,Commercial,6,3.0,0
1945,Qtr 2,4,April,20,1945-04-20,Friday,United States,Texas,Sweetwater,Douglas,Douglas C 47,Forces Air Army U S,Military,25,25.0,0
1985,Qtr 2,4,April,15,1985-04-15,Monday,Thailand,Thailand,Phuket,Boeing,Boeing B 737,Airways Thai,Commercial,11,11.0,0
1980,Qtr 2,4,April,27,1980-04-27,Sunday,Thailand,Thailand,Don Muang,Hawker Siddeley,Hawker Siddeley Hs 748,Airways Thai,Commercial,53,44.0,0
1936,Qtr 2,4,April,11,1936-04-11,Saturday,Trinidad,Spain,Port Of,Sikorsky,Sikorsky S 42A Flying,Airways American Pan,Commercial,25,3.0,0
1959,Qtr 2,4,April,23,1959-04-23,Thursday,Turkey,Turkey,Van,Avro,Avro 688 Super Traderg,Charter Air,Chartered,12,12.0,0
1999,Qtr 2,4,April,7,1999-04-07,Wednesday,Turkey,Turkey,Ceyhan,Boeing,Boeing 737,Thy Airlines Turkish,Commercial,6,6.0,0
1954,Qtr 2,4,April,3,1954-04-03,Saturday,Turkey,Turkey,Kabassaak,Douglas,Douglas Dc 3Tc,Devlet Hava Yollari,Commercial,25,25.0,0
1982,Qtr 2,4,April,13,1982-04-13,Tuesday,Turkey,Turkey,Erzurum,Lockheed,Lockheed C,Force Air U S,Military,27,27.0,0
1970,Qtr 2,4,April,4,1970-04-04,Saturday,Ukraine,Ukraine,Zaporozhye,Ilyushin,Ilyushin Il,Aeroflot,Commercial,35,7.0,0
1974,Qtr 2,4,April,27,1974-04-27,Saturday,Soviet Union,Ussraeroflot,Leningrad,Ilyushin,Ilyushin Il,Aeroflot,Commercial,109,109.0,0
1988,Qtr 2,4,April,19,1988-04-19,Tuesday,Soviet Union,Ussraeroflot,Bagdarin,LET,Let 410Uvp,Aeroflot,Commercial,17,17.0,0
1947,Qtr 2,4,April,8,1947-04-08,Tuesday,Venezuela,Venezuela,Caracas,Douglas,Douglas C,Linea Aeropostal Venezolana,Commercial,27,27.0,0
1960,Qtr 2,4,April,28,1960-04-28,Thursday,Venezuela,Venezuela,Calabozo,Douglas,Douglas Dc 3Yv,Linea Aeropostal Venezolana,Commercial,13,13.0,0
